0	2505
1	5790
2	2340
3	2228
4	506
5	924
6	4543
7	6464
8	2635
9	4142
10	1410
11	4396
12	353
13	2447
14	297
15	3869
16	219
17	2165
18	2347
19	2199
20	975
21	676
22	7553
23	436
24	130
25	514
26	639
27	157
28	461
29	3609
30	1326
31	3254
32	1171
33	834
34	649
35	1002
36	545
37	178
38	497
39	2041
40	87
41	711
42	616
43	1371
44	1385
45	282
46	6654
47	5941
48	3628
49	357
50	1721
51	568
52	1745
53	2010
54	90
55	1178
56	324
57	1611
58	925
59	245
60	2091
61	7149
62	222
63	1110
64	157
65	186
66	2165
67	5409
68	957
69	4745
70	2391
71	2164
72	496
73	757
74	999
75	1205
76	123
77	530
78	1933
79	2902
80	1079
81	3548
82	153
83	1243
84	1947
85	662
86	6504
87	1086
88	1914
89	2743
90	24
91	2775
92	4261
93	2964
94	389
95	1610
96	2175
97	628
98	5267
99	368
